id,parent_id,skill_id,selectable,name,fa_icon
1,,92,false,tools,fa fa-question-circle
2,1,92,true,figma,fa fa-question-circle
3,,93,false,activities,fa fa-question-circle
4,3,93,true,interviews,fa fa-question-circle
5,,94,false,tools,fa fa-question-circle
6,5,94,true,figma,fa fa-question-circle
7,5,94,true,adobe xd,fa fa-question-circle
8,5,94,true,invision,fa fa-question-circle
9,,94,false,design-systems,fa fa-question-circle
10,9,94,true,ant-design,fa fa-question-circle
11,9,94,true,material-design,fa fa-question-circle
12,,97,false,python ecosystem,fa fa-question-circle
13,12,97,true,django,fa fa-question-circle
14,12,97,true,flask,fa fa-question-circle
15,,97,false,java ecosystem,fa fa-question-circle
16,15,97,true,java,fa fa-question-circle
17,15,97,true,spring-boot,fa fa-question-circle
18,,97,false,languages,fa fa-question-circle
19,18,97,true,golang,fa fa-question-circle
20,18,97,true,python,fa fa-question-circle
21,18,97,true,java,fa fa-question-circle
22,,105,false,libraries,fa fa-question-circle
23,22,105,true,react,fa fa-question-circle
24,22,105,true,redux,fa fa-question-circle
25,22,105,true,vue,fa fa-question-circle
26,,105,false,languages,fa fa-question-circle
27,26,105,true,javascript,fa fa-question-circle
28,26,105,true,typescript,fa fa-question-circle
29,,105,false,technologies,fa fa-question-circle
30,29,105,true,graphql,fa fa-question-circle
31,29,105,true,rest,fa fa-question-circle
32,,106,false,frameworks,fa fa-question-circle
33,32,106,true,django,fa fa-question-circle
34,,114,false,frameworks,fa fa-question-circle
35,34,114,true,cypress,fa fa-question-circle
